psraid,cregion,q1,q2,q45,sex,recage,receduc,racethn2,party,partyln,weight,llweight,cellweight
100128,Northeast,Approve,Very strongly,Approve,Female,55-64,HS grad or less,"Hisp, born outside US",Democrat,NA,8.296296296,27.3,0
100131,South,Approve,Very strongly,Approve,Male,65+,Some coll/Assoc degree,Black~Hisp,Democrat,NA,2.259259259,6.4,0
100133,Midwest,Don't know/Refused (VOL.),NA,Disapprove,Female,18-24,Some coll/Assoc degree,Other,Republican,NA,6.037037037,27.3,0
100135,Midwest,Disapprove,Not so strongly,Approve,Male,65+,HS grad or less,White~Hisp,Democrat,NA,2.37037037,5.1,0
100138,Northeast,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Republican,NA,4.518518519,8.2,0
100143,Midwest,Disapprove,Very strongly,Disapprove,Female,45-54,Coll+,"Hisp, born in US",Republican,NA,1.37037037,2.9,0
100147,Northeast,Approve,Very strongly,Approve,Female,65+,HS grad or less,White~Hisp,Democrat,NA,3.296296296,2.3,0
100158,Northeast,Approve,Very strongly,Approve,Female,65+,Coll+,White~Hisp,Democrat,NA,1,1,0
100161,Midwest,Disapprove,Not so strongly,Disapprove,Female,35-44,Coll+,Other,Independent,Republican,2.333333333,4.7,0
100165,West,Approve,Don't know/Refused (VOL.),Approve,Female,65+,DK/Ref,"Hisp, born in US",No preference (VOL.),Republican,1.777777778,2.4,0
100166,South,Disapprove,Very strongly,Disapprove,Male,65+,HS grad or less,White~Hisp,Republican,NA,1.925925926,5.9,0
100168,South,Approve,Not so strongly,Approve,Female,45-54,Coll+,White~Hisp,Democrat,NA,1.259259259,4,0
100169,Midwest,Approve,Don't know/Refused (VOL.),Approve,Female,65+,HS grad or less,White~Hisp,Democrat,NA,2,4.7,0
100172,Midwest,Approve,Not so strongly,Don't know/Refused (VOL.),Female,65+,Some coll/Assoc degree,Other,Independent,Other/Don't know/Refused (VOL.),4.62962963,3.7,0
100180,Midwest,Disapprove,Very strongly,Disapprove,Female,25-34,Coll+,White~Hisp,Republican,NA,2.740740741,17.8,0
100181,Northeast,Don't know/Refused (VOL.),NA,Don't know/Refused (VOL.),Female,65+,Some coll/Assoc degree,White~Hisp,Independent,Democrat,1.666666667,1.8,0
100182,Northeast,Don't know/Refused (VOL.),NA,Disapprove,Female,25-34,Coll+,White~Hisp,Republican,NA,3.62962963,23.7,0
100200,Midwest,Don't know/Refused (VOL.),NA,Approve,Female,55-64,Some coll/Assoc degree,White~Hisp,Independent,Democrat,3.62962963,2.7,0
100201,Midwest,Approve,Very strongly,Approve,Male,65+,Coll+,White~Hisp,Democrat,NA,1,2.4,0
100202,West,Approve,Very strongly,Approve,Male,65+,Some coll/Assoc degree,White~Hisp,Independent,Democrat,2.148148148,8.5,0
100203,Midwest,Disapprove,Very strongly,Disapprove,Female,DK/Ref,HS grad or less,White~Hisp,Independent,Republican,4.962962963,16.9,0
100221,South,Approve,Very strongly,Approve,Male,65+,HS grad or less,Black~Hisp,Democrat,NA,4.333333333,7.9,0
100226,West,Disapprove,Very strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Independent,Republican,3.333333333,11.2,0
100233,West,Disapprove,Not so strongly,Disapprove,Male,65+,Coll+,White~Hisp,Independent,Republican,1.333333333,2.4,0
100245,Midwest,Approve,Not so strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Democrat,NA,1.592592593,2.4,0
100247,South,Don't know/Refused (VOL.),NA,Approve,Female,65+,HS grad or less,Black~Hisp,Democrat,NA,8.111111111,14.2,0
100251,South,Disapprove,Very strongly,Disapprove,Female,35-44,Coll+,White~Hisp,Republican,NA,2.481481481,5,0
100260,West,Approve,Not so strongly,Disapprove,Male,65+,HS grad or less,White~Hisp,Independent,Other/Don't know/Refused (VOL.),2.703703704,5.2,0
100262,South,Disapprove,Very strongly,Disapprove,Female,45-54,HS grad or less,White~Hisp,Independent,Republican,2.925925926,6.2,0
100268,West,Approve,Very strongly,Approve,Female,55-64,Coll+,White~Hisp,Democrat,NA,2.407407407,5.9,0
100271,West,Approve,Not so strongly,Approve,Male,18-24,HS grad or less,White~Hisp,Republican,NA,4.740740741,27.3,0
100279,South,Don't know/Refused (VOL.),NA,Don't know/Refused (VOL.),Female,55-64,HS grad or less,White~Hisp,Independent,Other/Don't know/Refused (VOL.),2.777777778,6.6,0
100280,West,Disapprove,Very strongly,Disapprove,Female,55-64,Coll+,White~Hisp,Republican,NA,1.259259259,2.4,0
100287,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Republican,NA,2.222222222,2.4,0
100291,West,Approve,Not so strongly,Approve,Male,65+,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),2.148148148,8.5,0
100295,West,Disapprove,Very strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),1.703703704,3.2,0
100301,Midwest,Approve,Not so strongly,Disapprove,Male,65+,HS grad or less,Black~Hisp,Democrat,NA,5.851851852,12.8,0
100305,West,Don't know/Refused (VOL.),NA,Disapprove,Female,55-64,HS grad or less,White~Hisp,Republican,NA,3.925925926,6.3,0
100314,West,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Republican,NA,2.851851852,15.9,0
100323,West,Disapprove,Very strongly,Disapprove,Female,65+,Coll+,White~Hisp,Republican,NA,1,2.4,0
100333,Northeast,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Independent,Republican,2.222222222,5.6,0
100335,West,Approve,Not so strongly,Approve,Female,65+,Some coll/Assoc degree,White~Hisp,Democrat,NA,2.185185185,2.7,0
100337,West,Disapprove,Very strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),1.851851852,2.5,0
100339,South,Disapprove,Very strongly,Disapprove,Female,55-64,Coll+,White~Hisp,Republican,NA,1.481481481,2.4,0
100348,Midwest,Disapprove,Very strongly,Disapprove,Male,35-44,HS grad or less,White~Hisp,Independent,Republican,3.814814815,20.5,0
100356,Midwest,Disapprove,Very strongly,Approve,Male,45-54,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),5.925925926,27.3,0
100357,Midwest,Approve,Not so strongly,Approve,Male,55-64,Some coll/Assoc degree,White~Hisp,Independent,Democrat,1.666666667,4.2,0
100367,South,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Democrat,NA,1.444444444,2.4,0
100373,South,Disapprove,Very strongly,Disapprove,Male,45-54,Some coll/Assoc degree,"Hisp, born in US",Republican,NA,4.962962963,16.6,0
100376,South,Disapprove,Not so strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Democrat,NA,2.703703704,6.4,0
100389,South,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Independent,Republican,1.222222222,4.9,0
100393,South,Approve,Don't know/Refused (VOL.),Don't know/Refused (VOL.),Female,65+,HS grad or less,White~Hisp,Don't know/Refused (VOL.),Democrat,5.407407407,7,0
100394,Midwest,Disapprove,Very strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,Independent,Republican,2.851851852,7.5,0
100396,South,Disapprove,Very strongly,Disapprove,Male,55-64,HS grad or less,White~Hisp,Republican,NA,6,27.3,0
100399,South,Disapprove,Very strongly,Disapprove,Male,55-64,Coll+,Ref,Independent,Republican,1.37037037,3.6,0
100400,Northeast,Approve,Very strongly,Approve,Female,55-64,Coll+,White~Hisp,Independent,Democrat,1.555555556,2.6,0
100405,Northeast,Disapprove,Not so strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Republican,NA,6.185185185,13.6,0
100410,South,Disapprove,Very strongly,Disapprove,Male,35-44,Coll+,White~Hisp,Independent,Democrat,1.37037037,6.1,0
100412,South,Disapprove,Very strongly,Approve,Female,18-24,HS grad or less,White~Hisp,Independent,Republican,8.296296296,27.3,0
100418,Midwest,Approve,Very strongly,Approve,Female,65+,Coll+,White~Hisp,Democrat,NA,1.296296296,2.9,0
100420,South,Approve,Very strongly,Don't know/Refused (VOL.),Female,55-64,Coll+,White~Hisp,Democrat,NA,2.37037037,10,0
100422,South,Approve,Very strongly,Approve,Female,65+,HS grad or less,Black~Hisp,Democrat,NA,2.851851852,8.9,0
100424,Northeast,Approve,Not so strongly,Approve,Female,55-64,Coll+,White~Hisp,Democrat,NA,3.037037037,7.3,0
100425,South,Disapprove,Very strongly,Disapprove,Male,55-64,Coll+,White~Hisp,Republican,NA,1.407407407,4.6,0
100433,Midwest,Approve,Very strongly,Approve,Female,55-64,Some coll/Assoc degree,White~Hisp,Democrat,NA,1.62962963,2.5,0
100445,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,Coll+,White~Hisp,Republican,NA,1,1,0
100452,South,Disapprove,Very strongly,Disapprove,Female,45-54,HS grad or less,White~Hisp,Republican,NA,2.703703704,15.4,0
100454,Midwest,Approve,Very strongly,Approve,Male,45-54,HS grad or less,Black~Hisp,Democrat,NA,2.074074074,7.9,0
100469,West,Disapprove,Very strongly,Disapprove,Female,18-24,Some coll/Assoc degree,White~Hisp,Independent,Republican,5.518518519,27.3,0
100474,South,Approve,Very strongly,Approve,Male,65+,Some coll/Assoc degree,"Hisp, born in US",Independent,Democrat,1.555555556,4.9,0
100477,West,Approve,Very strongly,Approve,Male,65+,Coll+,"Hisp, born in US",Democrat,NA,2.555555556,2.4,0
100481,Midwest,Don't know/Refused (VOL.),NA,Disapprove,Female,55-64,HS grad or less,White~Hisp,Democrat,NA,3.37037037,7.5,0
100484,Midwest,Approve,Not so strongly,Don't know/Refused (VOL.),Male,DK/Ref,Some coll/Assoc degree,Black~Hisp,Independent,Democrat,2.777777778,10.6,0
100486,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.037037037,1.7,0
100496,Northeast,Disapprove,Very strongly,Approve,Female,55-64,HS grad or less,White~Hisp,Republican,NA,5.037037037,7.3,0
100508,Northeast,Approve,Very strongly,Approve,Female,65+,Coll+,White~Hisp,Democrat,NA,1.37037037,2.4,0
100511,Northeast,Approve,Very strongly,Approve,Female,35-44,Some coll/Assoc degree,White~Hisp,Independent,Republican,8.296296296,13.8,0
100513,South,Approve,Not so strongly,Approve,Female,45-54,Coll+,White~Hisp,Democrat,NA,2.666666667,8.6,0
100523,Midwest,Approve,Very strongly,Approve,Male,45-54,Coll+,White~Hisp,Don't know/Refused (VOL.),Other/Don't know/Refused (VOL.),2.407407407,9,0
100525,West,Approve,Very strongly,Approve,Female,65+,Coll+,White~Hisp,Democrat,NA,1.444444444,2.7,0
100527,South,Disapprove,Very strongly,Disapprove,Male,55-64,Some coll/Assoc degree,White~Hisp,Independent,Republican,2.111111111,10,0
100541,South,Disapprove,Very strongly,Disapprove,Female,55-64,Coll+,White~Hisp,Democrat,NA,2.074074074,5.1,0
100546,Northeast,Approve,Very strongly,Approve,Female,65+,HS grad or less,Black~Hisp,Democrat,NA,3.37037037,6.7,0
100548,Midwest,Approve,Very strongly,Approve,Female,55-64,Some coll/Assoc degree,White~Hisp,Democrat,NA,1.962962963,2.7,0
100560,Midwest,Disapprove,Not so strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Independent,Democrat,2.703703704,8.7,0
100564,South,Disapprove,Very strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Independent,Republican,3.37037037,13.2,0
100566,South,Disapprove,Very strongly,Disapprove,Male,55-64,Some coll/Assoc degree,White~Hisp,Independent,Republican,2.296296296,8.8,0
100568,South,Disapprove,Very strongly,Disapprove,Female,25-34,Coll+,"Hisp, born in US",Democrat,NA,4.740740741,27.3,0
100570,South,Disapprove,Very strongly,Disapprove,Female,45-54,Some coll/Assoc degree,White~Hisp,Republican,NA,3.518518519,9.2,0
100571,Midwest,Approve,Not so strongly,Disapprove,Female,65+,HS grad or less,Other,No preference (VOL.),Democrat,4.703703704,12.2,0
100584,Midwest,Approve,Very strongly,Approve,Female,65+,Some coll/Assoc degree,White~Hisp,Democrat,NA,1.481481481,3.3,0
100587,South,Disapprove,Very strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Republican,NA,4.851851852,27.3,0
100596,Northeast,Approve,Don't know/Refused (VOL.),Approve,Female,65+,HS grad or less,White~Hisp,Democrat,NA,6.925925926,10.5,0
100613,Northeast,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Republican,NA,1.185185185,2.4,0
100621,South,Approve,Not so strongly,Approve,Female,45-54,Coll+,White~Hisp,Democrat,NA,2.185185185,5.4,0
100634,Northeast,Disapprove,Very strongly,Disapprove,Female,DK/Ref,Coll+,White~Hisp,Republican,NA,1.518518519,2.4,0
100636,South,Approve,Not so strongly,Disapprove,Male,45-54,Coll+,"Hisp, born in US",Republican,NA,2.296296296,5.1,0
100658,Midwest,Approve,Very strongly,Approve,Female,55-64,HS grad or less,White~Hisp,Independent,Other/Don't know/Refused (VOL.),4.185185185,10.8,0
100664,South,Disapprove,Not so strongly,Disapprove,Female,25-34,HS grad or less,White~Hisp,Republican,NA,3.518518519,7.9,0
100666,Northeast,Approve,Not so strongly,Don't know/Refused (VOL.),Female,55-64,Coll+,White~Hisp,Independent,Democrat,2.148148148,2.4,0
100669,Northeast,Approve,Not so strongly,Don't know/Refused (VOL.),Male,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,2.222222222,5.5,0
100672,Northeast,Approve,Not so strongly,Approve,Male,25-34,Coll+,White~Hisp,Independent,Democrat,2.703703704,27.3,0
100686,Northeast,Approve,Very strongly,Approve,Female,18-24,HS grad or less,Black~Hisp,Democrat,NA,4.074074074,27.3,0
100688,Northeast,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Republican,NA,2.259259259,3.6,0
100690,South,Approve,Not so strongly,Approve,Female,65+,Coll+,White~Hisp,Democrat,NA,1,1.1,0
100691,Northeast,Approve,Very strongly,Approve,Female,55-64,HS grad or less,White~Hisp,Democrat,NA,6.62962963,17,0
100693,Northeast,Approve,Don't know/Refused (VOL.),Approve,Female,25-34,HS grad or less,White~Hisp,Democrat,NA,7.259259259,25.6,0
100700,South,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Republican,NA,1,2.4,0
100704,Midwest,Approve,Not so strongly,Don't know/Refused (VOL.),Male,45-54,Coll+,White~Hisp,Independent,Democrat,2.888888889,8.7,0
100711,Northeast,Disapprove,Very strongly,Disapprove,Male,65+,HS grad or less,White~Hisp,Independent,Republican,5.777777778,5.6,0
100712,Midwest,Disapprove,Not so strongly,Disapprove,Female,55-64,HS grad or less,White~Hisp,Independent,Democrat,8.296296296,16.2,0
100716,Northeast,Don't know/Refused (VOL.),NA,Don't know/Refused (VOL.),Male,65+,HS grad or less,White~Hisp,Democrat,NA,1.851851852,2.9,0
100718,South,Approve,Very strongly,Approve,Male,55-64,Coll+,Black~Hisp,Democrat,NA,2.296296296,15.2,0
100721,Northeast,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Democrat,NA,6.592592593,8.6,0
100735,South,Disapprove,Not so strongly,Disapprove,Male,25-34,HS grad or less,Black~Hisp,Democrat,NA,4.37037037,27.3,0
100746,South,Approve,Very strongly,Approve,Male,65+,HS grad or less,White~Hisp,Independent,Democrat,2.111111111,4.1,0
100750,South,Approve,Very strongly,Approve,Female,65+,HS grad or less,Black~Hisp,Democrat,NA,2.62962963,7.9,0
100754,South,Disapprove,Very strongly,Disapprove,Male,45-54,Coll+,White~Hisp,Independent,Republican,2,7.5,0
100765,South,Approve,Very strongly,Disapprove,Female,45-54,HS grad or less,Black~Hisp,Democrat,NA,3.851851852,22.2,0
100766,South,Disapprove,Very strongly,Disapprove,Female,45-54,Coll+,White~Hisp,Independent,Republican,2.703703704,12.2,0
100782,West,Disapprove,Very strongly,Disapprove,Female,65+,Coll+,White~Hisp,Republican,NA,1.259259259,2.5,0
100787,South,Disapprove,Very strongly,Disapprove,Male,45-54,Coll+,Black~Hisp,Independent,Other/Don't know/Refused (VOL.),1.851851852,8.5,0
100790,West,Approve,Very strongly,Approve,Female,65+,HS grad or less,White~Hisp,Independent,Other/Don't know/Refused (VOL.),2.111111111,2.9,0
100796,West,Disapprove,Not so strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.111111111,2,0
100798,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,Coll+,White~Hisp,Independent,Other/Don't know/Refused (VOL.),1,1,0
100817,West,Disapprove,Very strongly,Disapprove,Male,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.407407407,2.8,0
100822,South,Disapprove,Very strongly,Disapprove,Male,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.888888889,4.7,0
100829,South,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.111111111,2,0
100830,South,Approve,Very strongly,Approve,Male,45-54,Some coll/Assoc degree,Black~Hisp,Democrat,NA,2.518518519,12.9,0
100831,West,Approve,Not so strongly,Approve,Male,55-64,Coll+,White~Hisp,Democrat,NA,1.444444444,3.2,0
100834,Midwest,Approve,Very strongly,Approve,Male,65+,Coll+,White~Hisp,Democrat,NA,1.074074074,2.1,0
100837,South,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,4.444444444,8.3,0
100838,Midwest,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Independent,Other/Don't know/Refused (VOL.),1.037037037,2.4,0
100857,West,Approve,Very strongly,Approve,Male,35-44,Coll+,Black~Hisp,Independent,Democrat,1.777777778,7.9,0
100867,West,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.111111111,2.4,0
100869,Midwest,Disapprove,Very strongly,Disapprove,Female,45-54,Coll+,White~Hisp,Republican,NA,1.925925926,7.7,0
100873,Midwest,Approve,Not so strongly,Approve,Male,25-34,Coll+,White~Hisp,Independent,Democrat,3.814814815,27.3,0
100886,West,Disapprove,Not so strongly,Don't know/Refused (VOL.),Male,65+,Some coll/Assoc degree,White~Hisp,Democrat,NA,2,5.5,0
100888,South,Don't know/Refused (VOL.),NA,Disapprove,Female,45-54,Coll+,"Hisp, born outside US",Independent,Republican,1.185185185,2.5,0
100889,West,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,Other,Republican,NA,4.592592593,5,0
100891,Northeast,Don't know/Refused (VOL.),NA,Don't know/Refused (VOL.),Male,55-64,Coll+,White~Hisp,Independent,Democrat,1.222222222,2.4,0
100893,West,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Independent,Republican,1.111111111,2.4,0
100896,West,Disapprove,Very strongly,Disapprove,Female,45-54,HS grad or less,Other,Republican,NA,4.037037037,9.5,0
100900,South,Disapprove,Not so strongly,Don't know/Refused (VOL.),Female,65+,Coll+,White~Hisp,No preference (VOL.),Other/Don't know/Refused (VOL.),1.333333333,2.4,0
100901,South,Disapprove,Very strongly,Disapprove,Male,65+,HS grad or less,White~Hisp,Independent,Other/Don't know/Refused (VOL.),4.148148148,8.2,0
100904,South,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.481481481,3.4,0
100911,Midwest,Approve,Not so strongly,Approve,Female,65+,HS grad or less,White~Hisp,Democrat,NA,1.851851852,2.8,0
100912,Midwest,Approve,Very strongly,Approve,Female,25-34,Coll+,White~Hisp,Democrat,NA,5.222222222,27.3,0
100915,South,Approve,Not so strongly,Approve,Male,65+,Coll+,White~Hisp,Independent,Democrat,1,3.3,0
100921,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Democrat,NA,2.222222222,3.1,0
100922,Midwest,Disapprove,Very strongly,Disapprove,Female,45-54,HS grad or less,White~Hisp,Republican,NA,3.592592593,22.5,0
100925,South,Approve,Very strongly,Approve,Male,65+,Some coll/Assoc degree,White~Hisp,Democrat,NA,2.62962963,2.4,0
100941,Midwest,Disapprove,Very strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),1.62962963,2.5,0
100943,West,Approve,Not so strongly,Approve,Male,35-44,Some coll/Assoc degree,White~Hisp,Independent,Democrat,3.074074074,12.3,0
100946,West,Disapprove,Very strongly,Disapprove,Female,35-44,Some coll/Assoc degree,White~Hisp,Independent,Republican,4.222222222,5.5,0
100947,South,Disapprove,Very strongly,Disapprove,Male,65+,Some coll/Assoc degree,White~Hisp,Independent,Republican,1.888888889,4.7,0
100961,Midwest,Disapprove,Very strongly,Disapprove,Male,65+,HS grad or less,White~Hisp,Independent,Other/Don't know/Refused (VOL.),4.148148148,15.4,0
100966,West,Disapprove,Very strongly,Approve,Male,DK/Ref,HS grad or less,"Hisp, born outside US",Democrat,NA,5.37037037,9.5,0
100994,Midwest,Approve,Very strongly,Approve,Male,65+,Coll+,White~Hisp,Democrat,NA,2.814814815,4.2,0
100995,West,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Republican,NA,2.333333333,5.6,0
100996,South,Disapprove,Not so strongly,Disapprove,Female,65+,Coll+,White~Hisp,Republican,NA,1,1.1,0
100998,West,Disapprove,Very strongly,Disapprove,Female,65+,Coll+,White~Hisp,Republican,NA,1.185185185,2.5,0
101006,West,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,3.962962963,3.7,0
101015,Midwest,Disapprove,Very strongly,Disapprove,Female,DK/Ref,Coll+,White~Hisp,No preference (VOL.),Other/Don't know/Refused (VOL.),1,2.4,0
101016,South,Disapprove,Very strongly,Disapprove,Male,18-24,Some coll/Assoc degree,White~Hisp,Republican,NA,4.148148148,27.3,0
101017,South,Approve,Very strongly,Approve,Male,45-54,Coll+,White~Hisp,Democrat,NA,1.740740741,4.6,0
101019,West,Approve,Very strongly,Approve,Female,65+,Coll+,White~Hisp,Independent,Democrat,1,1,0
101026,Midwest,Approve,Very strongly,Approve,Female,55-64,Coll+,White~Hisp,Democrat,NA,1.296296296,2.7,0
101029,South,Approve,Not so strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Democrat,NA,3.222222222,2.6,0
101031,Midwest,Approve,Very strongly,Approve,Male,45-54,HS grad or less,White~Hisp,Democrat,NA,5.592592593,26.7,0
101035,Midwest,Approve,Not so strongly,Approve,Female,DK/Ref,Coll+,White~Hisp,Independent,Democrat,1,1,0
101036,West,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,"Hisp, born in US",Republican,NA,3.296296296,3.1,0
101040,West,Disapprove,Very strongly,Disapprove,Male,65+,Some coll/Assoc degree,White~Hisp,Other party (VOL.),Republican,1.740740741,2.9,0
101053,West,Disapprove,Very strongly,Disapprove,Male,65+,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),2.148148148,8.5,0
101057,West,Approve,Not so strongly,Disapprove,Female,65+,Coll+,White~Hisp,Democrat,NA,1.222222222,1.3,0
101063,West,Approve,Not so strongly,Approve,Male,25-34,Some coll/Assoc degree,"Hisp, born in US",Independent,Democrat,8.296296296,27.3,0
101064,South,Approve,Very strongly,Approve,Female,65+,HS grad or less,Black~Hisp,Democrat,NA,2.592592593,4.4,0
101065,Midwest,Approve,Very strongly,Approve,Female,65+,HS grad or less,Black~Hisp,Democrat,NA,5.962962963,7.8,0
101074,West,Disapprove,Very strongly,Disapprove,Male,55-64,Coll+,White~Hisp,Independent,Republican,1.592592593,4.5,0
101077,West,Disapprove,Don't know/Refused (VOL.),Disapprove,Male,35-44,HS grad or less,"Hisp, born outside US",Independent,Other/Don't know/Refused (VOL.),2.592592593,25,0
101078,Midwest,Disapprove,Very strongly,Disapprove,Male,55-64,Coll+,Other,Independent,Republican,2.62962963,13,0
101079,South,Disapprove,Very strongly,Disapprove,Male,35-44,HS grad or less,White~Hisp,Republican,NA,4.703703704,22,0
